STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,isced11,International Standard Classification of Education (ISCED 2011),acl00,Classification of activities for time use,age,Age class,sex,Sex,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,AT,Austria,2015,,27.5,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,AT,Austria,2022,,8.4,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,BE,Belgium,2015,,17.3,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,BE,Belgium,2022,,10.1,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,BG,Bulgaria,2015,,8.8,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,BG,Bulgaria,2022,,4.5,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,CH,Switzerland,2015,,45.3,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,CH,Switzerland,2022,,26.7,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,CY,Cyprus,2015,,2.0,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,CY,Cyprus,2022,,14.1,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,CZ,Czechia,2015,,23.5,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,CZ,Czechia,2022,,16.8,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,DE,Germany,2015,,9.4,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,DE,Germany,2022,,,,u,low reliability,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,DK,Denmark,2015,,36.9,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,DK,Denmark,2022,,23.1,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,EA20,Euro area – 20 countries (from 2023),2022,,13.7,,e,estimated,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,EE,Estonia,2015,,27.8,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,EE,Estonia,2022,,15.4,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,EL,Greece,2015,,19.2,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,EL,Greece,2022,,7.3,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,ES,Spain,2015,,12.9,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,ES,Spain,2022,,6.0,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2015,,24.4,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2022,,15.0,,e,estimated,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,FI,Finland,2015,,76.3,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,FR,France,2015,,18.8,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,FR,France,2022,,10.2,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,HR,Croatia,2015,,16.8,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,HR,Croatia,2022,,13.5,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,HU,Hungary,2015,,13.4,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,HU,Hungary,2022,,11.6,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,IE,Ireland,2015,,32.7,,u,low reliability,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,IE,Ireland,2022,,19.8,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,IS,Iceland,2015,,63.3,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,IT,Italy,2015,,13.5,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,IT,Italy,2022,,4.6,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,LT,Lithuania,2015,,26.9,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,LT,Lithuania,2022,,10.1,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,LU,Luxembourg,2015,,29.9,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,LU,Luxembourg,2022,,10.0,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,LV,Latvia,2015,,26.3,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,LV,Latvia,2022,,11.8,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,ME,Montenegro,2015,,8.5,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,ME,Montenegro,2022,,5.8,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,MK,North Macedonia,2015,,24.6,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,MT,Malta,2015,,0.6,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,MT,Malta,2022,,8.5,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,NL,Netherlands,2015,,90.2,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,NL,Netherlands,2022,,72.4,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,NO,Norway,2015,,75.0,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,NO,Norway,2022,,77.7,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,PL,Poland,2015,,52.9,,u,low reliability,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,PL,Poland,2022,,22.4,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,PT,Portugal,2015,,22.3,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,PT,Portugal,2022,,18.1,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,RO,Romania,2015,,10.0,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,RO,Romania,2022,,10.3,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,RS,Serbia,2015,,16.4,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,RS,Serbia,2022,,9.4,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,SE,Sweden,2015,,70.3,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,SE,Sweden,2022,,50.4,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,SI,Slovenia,2015,,56.4,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,SI,Slovenia,2022,,33.0,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,SK,Slovakia,2015,,20.1,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,SK,Slovakia,2022,,14.7,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,TR,Türkiye,2022,,2.5,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,F,Females,PC,Percentage,UK,United Kingdom,2015,,16.1,,u,low reliability,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,M,Males,PC,Percentage,AT,Austria,2015,,29.3,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,M,Males,PC,Percentage,AT,Austria,2022,,7.8,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,M,Males,PC,Percentage,BE,Belgium,2015,,16.7,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,M,Males,PC,Percentage,BE,Belgium,2022,,10.4,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,M,Males,PC,Percentage,BG,Bulgaria,2015,,8.2,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,M,Males,PC,Percentage,BG,Bulgaria,2022,,2.4,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,M,Males,PC,Percentage,CH,Switzerland,2015,,43.1,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,M,Males,PC,Percentage,CH,Switzerland,2022,,26.1,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,M,Males,PC,Percentage,CY,Cyprus,2015,,1.9,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,M,Males,PC,Percentage,CY,Cyprus,2022,,10.3,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,M,Males,PC,Percentage,CZ,Czechia,2015,,15.4,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,M,Males,PC,Percentage,CZ,Czechia,2022,,10.8,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,M,Males,PC,Percentage,DE,Germany,2015,,6.3,,,,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,M,Males,PC,Percentage,DE,Germany,2022,,,,u,low reliability,,
dataflow,ESTAT:ILC_SCP19$DV_1042(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",A,Annual,TOTAL,All ISCED 2011 levels,AC42A,Informal voluntary activities,Y16-24,From 16 to 24 years,M,Males,PC,Percentage,DK,Denmark,2015,,33.4,,,,,
